AID,count
2041,0
2042,11
2043,18
2044,13
2045,1
2046,16
2047,0
2048,18
2049,0
2050,0
2051,0
2052,0
2053,30
2054,5
2055,3
2056,0
2057,0
2058,1
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,8
2071,32
2072,0
2073,8
2074,0
2075,1
2076,7
2077,0
2078,1
2079,0
2080,3
2081,13
2082,127
2083,0
2084,0
2085,14
2086,0
2087,0
2088,1457
2089,181
2090,7
2091,135
2092,120
2093,239
2094,17
2095,33
2096,209
2097,9
2098,3
2099,54
2100,210
2101,5
2102,11
2103,111
2104,5
2105,84
2106,88
2107,256
2108,118
2109,49
2110,35
2111,5
2112,0
2113,88
2114,12
2115,4
2116,0
2117,26
2118,25
2119,210
2120,2
2121,8
2122,3
2123,6
2124,14
2125,1
2126,6
2127,8
2128,5
2129,44
2130,0
2131,1
2132,0
2133,6
2134,17
2135,46
2136,26
2137,4
2138,4
2139,14
2140,196
2141,1
2142,3
2143,49
2144,12
2145,0
2146,0
2147,313
2148,1
2149,5
2150,29
2151,0
2152,0
2153,1
2154,18
2155,0
2156,5
2157,95
2158,0
2159,0
2160,35
2161,1
2162,0
2163,9
2164,1
2165,5
2166,0
2167,0
2168,0
2169,4
2170,0
2171,8
2172,11
2173,0
2174,0
2175,0
2176,0
2177,48
2178,105
2179,25
2180,181
2181,519
2182,410
2183,45
2184,0
2185,1
2186,3
2187,3
2188,58
2189,127
2190,5
2191,2
2192,359
2193,26
2194,47
2195,1026
2196,2
2197,2
2198,0
2199,11
2200,31
2201,0
2202,97
2203,8
2204,0
2205,0
2206,19
2207,0
2208,0
2209,2133
2210,12
2211,13
2212,87
2213,167
2214,887
2215,55
2216,482
2217,22
2218,33
2219,28
2220,0
2221,104
2222,8
2223,5
2224,0
2225,0
2226,0
2227,4
2228,0
2229,0
2230,49
2231,0
2232,74
2233,0
2234,0
2235,0
2236,146
2237,6
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,1
2245,0
2246,0
2247,0
2248,6
2249,46
2250,48
2251,0
2252,0
2253,107
2254,20
2255,0
2256,3
2257,18
2258,0
2259,19
2260,54
2261,0
2262,0
2263,0
2264,1
2265,0
2266,0
2267,0
2268,4
2269,0
2270,81
2271,0
2272,0
2273,0
2274,10
2275,18
2276,14
2277,1
2278,18
2279,0
2280,17
2281,0
2282,0
2283,0
2284,0
2285,33
2286,5
2287,3
2288,0
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
2300,0
2301,0
2302,7
2303,33
2304,0
2305,8
2306,0
2307,1
2308,7
2309,0
2310,1
2311,0
2312,3
2313,13
2314,126
2315,0
2316,0
2317,13
2318,0
2319,0
2320,1499
2321,183
2322,7
2323,144
2324,122
2325,245
2326,18
2327,34
2328,200
2329,10
2330,4
2331,58
2332,212
2333,8
2334,10
2335,112
2336,3
2337,84
2338,91
2339,268
2340,124
2341,50
2342,36
2343,6
2344,1
2345,85
2346,11
2347,7
2348,0
2349,28
2350,27
2351,219
2352,3
2353,8
2354,3
2355,6
2356,17
2357,1
2358,7
2359,13
2360,6
2361,44
2362,0
2363,1
2364,0
2365,6
2366,18
2367,47
2368,25
2369,4
2370,6
2371,15
2372,196
2373,2
2374,2
2375,50
2376,13
2377,0
2378,0
2379,318
2380,2
2381,4
2382,28
2383,0
2384,0
2385,1
2386,17
2387,0
2388,5
2389,99
2390,0
2391,0
2392,35
2393,1
2394,1
2395,9
2396,1
2397,4
2398,0
2399,0
2400,0
