pid,timestamp,score_mean,photo_count
317,7:00:00,4.9841923,4
322,7:00:00,4.6910276,5
327,7:00:00,4.68623485,2
328,7:00:00,4.779315355,11
337,7:00:00,5.042911771,7
338,7:00:00,4.68770478,5
341,7:00:00,4.743717,3
356,7:00:00,5.14588672,5
357,7:00:00,5.386602578,9
367,7:00:00,4.922852279,24
368,7:00:00,5.084595492,12
369,7:00:00,4.565305375,8
374,7:00:00,4.3206105,2
375,7:00:00,4.610424942,26
377,7:00:00,4.5672591,3
378,7:00:00,4.851615817,29
380,7:00:00,4.5955286,2
384,7:00:00,4.724164,2
385,7:00:00,4.98810635,2
390,7:00:00,4.5948957,2
394,7:00:00,4.39366085,2
398,7:00:00,4.212471567,6
402,7:00:00,5.22107425,2
410,7:00:00,4.633105843,7
412,7:00:00,4.28734605,2
420,7:00:00,4.663048814,7
422,7:00:00,4.820993875,4
429,7:00:00,4.726424,2
432,7:00:00,4.45435904,5
433,7:00:00,4.63081105,4
435,7:00:00,5.163400875,4
497,7:00:00,4.870161773,15
507,7:00:00,5.0118596,3
530,7:00:00,4.42024965,2
552,7:00:00,4.651476127,15
567,7:00:00,5.3018073,3
569,7:00:00,4.6772032,2
577,7:00:00,4.830797713,8
587,7:00:00,4.994611,5
605,7:00:00,4.65971305,2
633,7:00:00,3.511388533,3
634,7:00:00,3.643951767,3
639,7:00:00,4.488182664,11
666,7:00:00,4.854861,2
700,7:00:00,4.95696615,2
701,7:00:00,4.20330585,2
714,7:00:00,4.8969383,4
727,7:00:00,4.977045,8
742,7:00:00,5.043224731,16
749,7:00:00,4.51217785,2
765,7:00:00,4.848840667,3
810,7:00:00,5.070397,3
825,7:00:00,4.726002056,16
827,7:00:00,5.25486255,4
835,7:00:00,4.9919788,2
836,7:00:00,4.8319615,4
858,7:00:00,5.3539441,2
862,7:00:00,4.72096152,5
872,7:00:00,4.8973534,2
884,7:00:00,5.0719928,2
890,7:00:00,4.418869575,4
912,7:00:00,4.622163387,23
916,7:00:00,4.935342719,16
931,7:00:00,4.6896582,2
948,7:00:00,4.7301043,2
950,7:00:00,4.5780513,2
961,7:00:00,4.0358953,2
1009,7:00:00,4.79800115,10
1077,7:00:00,4.431988733,3
1089,7:00:00,4.556528583,6
1122,7:00:00,4.801701633,82
1154,7:00:00,4.611036475,4
1169,7:00:00,4.553349888,8
1178,7:00:00,4.51255478,5
1189,7:00:00,4.57389545,2
1283,7:00:00,4.635467679,14
1284,7:00:00,5.242792,2
1285,7:00:00,4.587273,2
1337,7:00:00,3.797725025,4
1431,7:00:00,5.2015679,2
1436,7:00:00,5.146743429,7
1437,7:00:00,5.09082365,12
1445,7:00:00,4.591068333,3
