aid,aoi,boundary,polygon
1069,"Shinsho Gokurakuji Temple, 真正極楽寺",[135.788605  35.021018 135.790414  35.022177],"[[35.022177, 135.788605], [35.022177, 135.790414], [35.021018, 135.790414], [35.021018, 135.788605]]"
1070,"Gojo-zaka, 五条坂",[135.776027  34.993081 135.782008  34.996141],"[[34.996141, 135.776027], [34.996141, 135.782008], [34.993081, 135.782008], [34.993081, 135.776027]]"
1071,"Chion-in mae, 知恩院前",[135.777298  35.005182 135.780991  35.00842 ],"[[35.00842, 135.777298], [35.00842, 135.780991], [35.005182, 135.780991], [35.005182, 135.777298]]"
1072,"Wild Bird Forest, 野鳥の森・探鳥路",[135.786911  35.006508 135.786941  35.00653 ],"[[35.00653, 135.786911], [35.00653, 135.786941], [35.006508, 135.786941], [35.006508, 135.786911]]"
1073,"Bishamondo, 毘沙門堂",[135.818818  35.000744 135.819397  35.00148 ],"[[35.00148, 135.818818], [35.00148, 135.819397], [35.000744, 135.819397], [35.000744, 135.818818]]"
1074,"Yamashina Station, 山科駅",[135.815826  34.990333 135.821     34.993166],"[[34.993166, 135.815826], [34.993166, 135.821], [34.990333, 135.821], [34.990333, 135.815826]]"
1075,"Yamashina Sosui, 山科疏水",[135.817549  34.9945   135.828016  34.997166],"[[34.997166, 135.817549], [34.997166, 135.828016], [34.9945, 135.828016], [34.9945, 135.817549]]"
1076,"Omi Jingu, 近江神宮",[135.851648  35.032    135.852797  35.032713],"[[35.032713, 135.851648], [35.032713, 135.852797], [35.032, 135.852797], [35.032, 135.851648]]"
1077,"Omi-Jingu-Mae Station, 近江神宮前駅",[135.855788  35.028583 135.8566    35.030666],"[[35.030666, 135.855788], [35.030666, 135.8566], [35.028583, 135.8566], [35.028583, 135.855788]]"
1078,"Otsukyo Station, 大津京駅",[135.8564    35.023641 135.857305  35.024333],"[[35.024333, 135.8564], [35.024333, 135.857305], [35.023641, 135.857305], [35.023641, 135.8564]]"
1079,"Otsu Lakeshore Nagisa Park, 大津湖岸なぎさ公園",[135.875666  35.007151 135.876492  35.007643],"[[35.007643, 135.875666], [35.007643, 135.876492], [35.007151, 135.876492], [35.007151, 135.875666]]"
1080,"Biwako Sui (Otsu), 琵琶湖疏水（大津）",[135.8545    35.010666 135.858     35.012333],"[[35.012333, 135.8545], [35.012333, 135.858], [35.010666, 135.858], [35.010666, 135.8545]]"
1081,"Biwako Hamaotsu, 琵琶湖浜大津",[135.862361  35.00948  135.866255  35.013663],"[[35.013663, 135.862361], [35.013663, 135.866255], [35.00948, 135.866255], [35.00948, 135.862361]]"
1082,"Nagarasan Onjoji-temple, 三井寺",[135.852833  35.013    135.853666  35.0135  ],"[[35.0135, 135.852833], [35.0135, 135.853666], [35.013, 135.853666], [35.013, 135.852833]]"
1083,"Ogi Toge, 仰木峠",[135.843094  35.105833 135.843352  35.105994],"[[35.105994, 135.843094], [35.105994, 135.843352], [35.105833, 135.843352], [35.105833, 135.843094]]"
1084,"Yokawa Main Hall, Enryaku-ji , 比叡山延暦寺横川中堂",[135.848975  35.096088 135.852833  35.097511],"[[35.097511, 135.848975], [35.097511, 135.852833], [35.096088, 135.852833], [35.096088, 135.848975]]"
1085,"Ohara Bus Station, 大原バス停",[135.828704  35.119161 135.829544  35.120067],"[[35.120067, 135.828704], [35.120067, 135.829544], [35.119161, 135.829544], [35.119161, 135.828704]]"
1086,"Oharauenocho, 大原上野町",[135.834275  35.108652 135.834336  35.108833],"[[35.108833, 135.834275], [35.108833, 135.834336], [35.108652, 135.834336], [35.108652, 135.834275]]"
1087,"Kurama-dera, 鞍馬山",[135.764633  35.118147 135.768333  35.121102],"[[35.121102, 135.764633], [35.121102, 135.768333], [35.118147, 135.768333], [35.118147, 135.764633]]"
1088,"Kifune Shrine Rear Side, 貴船神社奥宮",[135.764922  35.128332 135.765609  35.128936],"[[35.128936, 135.764922], [35.128936, 135.765609], [35.128332, 135.765609], [35.128332, 135.764922]]"
1089,"Kurama Station, 鞍馬駅",[135.771769  35.112657 135.773666  35.114502],"[[35.114502, 135.771769], [35.114502, 135.773666], [35.112657, 135.773666], [35.112657, 135.771769]]"
1090,"Kibuneguchi, 貴船口",[135.763166  35.105705 135.7638    35.106166],"[[35.106166, 135.763166], [35.106166, 135.7638], [35.105705, 135.7638], [35.105705, 135.763166]]"
1091,"Chushojima Station, 中書島駅",[135.759333  34.926586 135.761838  34.9315  ],"[[34.9315, 135.759333], [34.9315, 135.761838], [34.926586, 135.761838], [34.926586, 135.759333]]"
1092,"Tanbabashi Station, 丹波橋駅",[135.765198  34.938572 135.766357  34.939444],"[[34.939444, 135.765198], [34.939444, 135.766357], [34.938572, 135.766357], [34.938572, 135.765198]]"
1093,"Fujinomori Shrine, 藤森神社",[135.771302  34.949813 135.771994  34.951755],"[[34.951755, 135.771302], [34.951755, 135.771994], [34.949813, 135.771994], [34.949813, 135.771302]]"
1094,"Fujinomori Station, 藤森駅",[135.770233  34.95563  135.770652  34.957872],"[[34.957872, 135.770233], [34.957872, 135.770652], [34.95563, 135.770652], [34.95563, 135.770233]]"
1095,"Tobakaido Station, 鳥羽街道駅",[135.76883   34.972072 135.769638  34.973063],"[[34.973063, 135.76883], [34.973063, 135.769638], [34.972072, 135.769638], [34.972072, 135.76883]]"
1096,"Fushimi Inari Station, 伏見稲荷駅",[135.769036  34.966852 135.770569  34.9702  ],"[[34.9702, 135.769036], [34.9702, 135.770569], [34.966852, 135.770569], [34.966852, 135.769036]]"
1097,"Kyoto University of Arts, 京都造形芸術大学",[135.791183  35.036147 135.79295   35.0395  ],"[[35.0395, 135.791183], [35.0395, 135.79295], [35.036147, 135.79295], [35.036147, 135.791183]]"
1098,"Himukai-Daijingu Shrine, 日向大神宮",[135.79483   35.005722 135.795227  35.006502],"[[35.006502, 135.79483], [35.006502, 135.795227], [35.005722, 135.795227], [35.005722, 135.79483]]"
1099,"Kyoto City Zoo, 京都市動物園",[135.784791  35.010569 135.789287  35.013671],"[[35.013671, 135.784791], [35.013671, 135.789287], [35.010569, 135.789287], [35.010569, 135.784791]]"
1100,"Nanzenji Eikandomichi, 南禅寺・永観堂道",[135.790216  35.013827 135.790997  35.014622],"[[35.014622, 135.790216], [35.014622, 135.790997], [35.013827, 135.790997], [35.013827, 135.790216]]"
1101,"Keage Station, 蹴上駅",[135.787369  35.006844 135.79155   35.009558],"[[35.009558, 135.787369], [35.009558, 135.79155], [35.006844, 135.79155], [35.006844, 135.787369]]"
1102,"Ichijoji Minamitakayama, 一乗寺南高山",[135.812316  35.048197 135.812486  35.048463],"[[35.048463, 135.812316], [35.048463, 135.812486], [35.048197, 135.812486], [35.048197, 135.812316]]"
1103,"Kamo-hani-jinja Shrine, 賀茂波爾神社",[135.782836  35.043103 135.783066  35.043252],"[[35.043252, 135.782836], [35.043252, 135.783066], [35.043103, 135.783066], [35.043103, 135.782836]]"
1104,"Manshuin michi, 曼殊院道",[135.784833  35.044    135.784888  35.044055],"[[35.044055, 135.784833], [35.044055, 135.784888], [35.044, 135.784888], [35.044, 135.784833]]"
1105,"Myouenji, 妙円寺",[135.785563  35.053583 135.785822  35.053824],"[[35.053824, 135.785563], [35.053824, 135.785822], [35.053583, 135.785822], [35.053583, 135.785563]]"
1106,"Shugakuin Imperial Villa, 修学院",[135.788902  35.049558 135.790586  35.051463],"[[35.051463, 135.788902], [35.051463, 135.790586], [35.049558, 135.790586], [35.049558, 135.788902]]"
1107,"Konkai Komyo-ji, 金戒光明寺",[135.78535   35.017977 135.789638  35.019574],"[[35.019574, 135.78535], [35.019574, 135.789638], [35.017977, 135.789638], [35.017977, 135.78535]]"
1108,"Okazaki Shrine, 岡崎神社",[135.788783  35.016861 135.789245  35.017177],"[[35.017177, 135.788783], [35.017177, 135.789245], [35.016861, 135.789245], [35.016861, 135.788783]]"
1109,"Konpuku-ji, 金福寺",[135.795178  35.041943 135.795438  35.042011],"[[35.042011, 135.795178], [35.042011, 135.795438], [35.041943, 135.795438], [35.041943, 135.795178]]"
1110,"Enkō-ji Temple, 圆光寺",[135.79673   35.044799 135.7978    35.04508 ],"[[35.04508, 135.79673], [35.04508, 135.7978], [35.044799, 135.7978], [35.044799, 135.79673]]"
1111,"Seikanji Temple, 清閑寺",[135.785155  34.988638 135.787539  34.990066],"[[34.990066, 135.785155], [34.990066, 135.787539], [34.988638, 135.787539], [34.988638, 135.785155]]"
1112,"Shimizuyama, 清水山",[135.786819  34.992813 135.788527  34.997555],"[[34.997555, 135.786819], [34.997555, 135.788527], [34.992813, 135.788527], [34.992813, 135.786819]]"
1113,"Otani Sobyo, 大谷祖廟",[135.781702  35.0017   135.783055  35.002819],"[[35.002819, 135.781702], [35.002819, 135.783055], [35.0017, 135.783055], [35.0017, 135.781702]]"
1114,"Shogunzuka, 将軍塚",[135.786452  35.001094 135.787902  35.002227],"[[35.002227, 135.786452], [35.002227, 135.787902], [35.001094, 135.787902], [35.001094, 135.786452]]"
1115,"Higashiyama Sanchō Koen, 東山山頂公園",[135.78753   34.99963  135.788126  35.000316],"[[35.000316, 135.78753], [35.000316, 135.788126], [34.99963, 135.788126], [34.99963, 135.78753]]"
1116,"Kannon-ji, 今熊野観音寺",[135.779252  34.979319 135.781675  34.98008 ],"[[34.98008, 135.779252], [34.98008, 135.781675], [34.979319, 135.781675], [34.979319, 135.779252]]"
1117,"Sennyū-ji, 泉涌寺",[135.778883  34.977876 135.781518  34.978513],"[[34.978513, 135.778883], [34.978513, 135.781518], [34.977876, 135.781518], [34.977876, 135.778883]]"
1118,"Sokujō-in Temple, 即成院",[135.776961  34.98178  135.777019  34.981905],"[[34.981905, 135.776961], [34.981905, 135.777019], [34.98178, 135.777019], [34.98178, 135.776961]]"
1119,"Shorin-ji, 毘沙門堂 勝林寺",[135.773644  34.979811 135.773722  34.979947],"[[34.979947, 135.773644], [34.979947, 135.773722], [34.979811, 135.773722], [34.979811, 135.773644]]"
1120,"Komyo-in, 光明院",[135.773611  34.974066 135.773689  34.974111],"[[34.974111, 135.773611], [34.974111, 135.773689], [34.974066, 135.773689], [34.974066, 135.773611]]"
1121,"Goshadaimyojinja, 五社大明神",[135.778999  34.974142 135.779783  34.974763],"[[34.974763, 135.778999], [34.974763, 135.779783], [34.974142, 135.779783], [34.974142, 135.778999]]"
